Time (s),Temperature (ºC),Power (W)
0.2285547,65.305391,0.00013818251
0.4571094,65.333568,0.00013818233
0.685664,65.357862,0.0001381822
0.9142187,65.380333,0.00013818177
1.1427734,65.401719,0.00013818146
1.371328,65.422247,0.00013818102
1.5998827,65.442684,0.00013818053
1.8284374,65.462152,0.00013818005
2.0569921,65.481351,0.00013817947
2.2855467,65.500801,0.00013817952
2.5141014,65.519112,0.0001381794
2.7426561,65.537668,0.00013817914
2.9712108,65.556057,0.00013817887
3.1997654,65.574153,0.00013817853
3.4283201,65.592025,0.00013817843
3.6568748,65.609948,0.00013817833
3.8854295,65.627493,0.00013817792
4.1139841,65.644888,0.00013817764
4.3425388,65.662198,0.00013817726
4.5710935,65.678953,0.000138177
4.7996482,65.695846,0.00013817673
5.0282028,65.712727,0.00013817661
5.2567575,65.729159,0.00013817654
5.4853122,65.745649,0.00013817599
5.7138669,65.761713,0.00013817597
5.9424215,65.778232,0.00013817568
6.1709762,65.793828,0.00013817543
6.3995309,65.809684,0.00013817507
6.6280856,65.825162,0.00013817493
6.8566402,65.841049,0.00013817445
7.0851949,65.856265,0.00013817447
7.3137496,65.87144,0.00013817464
7.5423043,65.886765,0.00013817425
7.7708589,65.901442,0.00013817391
7.9994136,65.916265,0.00013817345
8.2279683,65.931187,0.00013817328
8.456523,65.945562,0.00013817336
8.6850776,65.960158,0.00013817302
8.9136323,65.974192,0.00013817305
9.142187,65.988541,0.00013817271
9.3707417,66.002379,0.000138172
9.5992963,66.016424,0.00013817179
9.827851,66.03022,0.00013817185
10.056406,66.043777,0.00013817152
10.28496,66.057348,0.00013817129
10.513515,66.071079,0.00013817121
10.74207,66.084011,0.00013817121
10.970624,66.097126,0.00013817117
11.199179,66.110019,0.00013817114
11.427734,66.123063,0.00013817073
11.656288,66.135795,0.00013817071
11.884843,66.148622,0.00013817039
12.113398,66.161231,0.00013817063
12.341952,66.173325,0.00013817026
12.570507,66.185782,0.00013816996
12.799062,66.198144,0.00013816993
13.027616,66.21034,0.00013816957
13.256171,66.222445,0.0001381692
13.484726,66.234328,0.00013816947
13.71328,66.246086,0.00013816915
13.941835,66.257971,0.00013816905
14.17039,66.269227,0.00013816905
14.398944,66.280722,0.00013816866
14.627499,66.292168,0.00013816858
14.856054,66.303509,0.00013816808
15.084608,66.314414,0.00013816767
15.313163,66.325814,0.00013816758
15.541718,66.337008,0.0001381673
15.770272,66.347486,0.00013816733
15.998827,66.358323,0.00013816713
16.227382,66.369077,0.00013816704
16.455937,66.379407,0.00013816685
16.684491,66.390167,0.00013816685
16.913046,66.400304,0.00013816656
17.141601,66.410913,0.00013816626
17.370155,66.421084,0.00013816601
17.59871,66.431144,0.00013816616
17.827265,66.441254,0.00013816596
18.055819,66.451214,0.00013816577
18.284374,66.460883,0.00013816576
18.512929,66.470549,0.00013816557
18.741483,66.48065,0.00013816514
18.970038,66.490041,0.0001381651
19.198593,66.499372,0.00013816531
19.427147,66.508981,0.00013816475
19.655702,66.517917,0.00013816476
19.884257,66.527203,0.00013816454
20.112811,66.536757,0.00013816428
20.341366,66.545743,0.00013816466
20.569921,66.554835,0.00013816442
20.798475,66.563463,0.00013816407
21.02703,66.57274,0.00013816401
21.255585,66.581315,0.00013816433
21.484139,66.59012,0.00013816385
21.712694,66.598422,0.00013816387
21.941249,66.607245,0.0001381641
22.169803,66.615584,0.00013816324
22.398358,66.623844,0.00013816361
22.626913,66.632139,0.00013816375
22.855467,66.640383,0.00013816328
23.084022,66.648557,0.00013816287
23.312577,66.656709,0.00013816296
23.541131,66.664796,0.00013816283
23.769686,66.672852,0.00013816272
23.998241,66.680488,0.00013816285
24.226795,66.688423,0.00013816281
24.45535,66.696048,0.00013816244
24.683905,66.703928,0.00013816236
24.912459,66.711557,0.00013816219
25.141014,66.718857,0.00013816233
25.369569,66.726579,0.0001381619
25.598123,66.733882,0.00013816195
25.826678,66.740918,0.00013816192
26.055233,66.748482,0.00013816179
26.283788,66.755569,0.00013816123
26.512342,66.762666,0.00013816091
26.740897,66.769914,0.00013816115
26.969452,66.777129,0.00013816131
27.198006,66.7838,0.00013816182
27.426561,66.790514,0.00013816131
27.655116,66.797561,0.00013816096
27.88367,66.804283,0.00013816086
28.112225,66.811102,0.00013816077
28.34078,66.817721,0.00013816064
28.569334,66.824149,0.00013816052
28.797889,66.830626,0.00013816025
29.026444,66.837301,0.00013816034
29.254998,66.843527,0.00013816055
29.483553,66.833758,0.0
29.712108,66.812559,0.0
29.940662,66.795678,0.0
30.169217,66.779854,0.0
30.397772,66.765179,0.0
30.626326,66.751056,0.0
30.854881,66.737177,0.0
31.083436,66.723911,0.0
31.31199,66.711303,0.0
31.540545,66.698647,0.0
31.7691,66.685743,0.0
31.997654,66.67353,0.0
32.226209,66.661111,0.0
32.454764,66.649197,0.0
32.683318,66.637115,0.0
32.911873,66.625671,0.0
33.140428,66.613562,0.0
33.368982,66.602321,0.0
33.597537,66.59052,0.0
33.826092,66.579461,0.0
34.054646,66.567758,0.0
34.283201,66.556787,0.0
34.511756,66.545409,0.0
34.74031,66.534559,0.0
34.968865,66.523877,0.0
35.19742,66.512919,0.0
35.425974,66.502186,0.0
35.654529,66.491728,0.0
35.883084,66.480978,0.0
36.111639,66.470544,0.0
36.340193,66.46037,0.0
36.568748,66.449965,0.0
36.797303,66.439569,0.0
37.025857,66.429516,0.0
37.254412,66.419675,0.0
37.482967,66.409808,0.0
37.711521,66.399868,0.0
37.940076,66.389935,0.0
38.168631,66.380298,0.0
38.397185,66.370825,0.0
38.62574,66.361511,0.0
38.854295,66.351957,0.0
39.082849,66.342491,0.0
39.311404,66.33324,0.0
39.539959,66.323774,0.0
39.768513,66.314859,0.0
39.997068,66.305364,0.0
40.225623,66.297077,0.0
40.454177,66.287752,0.0
40.682732,66.279181,0.0
40.911287,66.270607,0.0
41.139841,66.26185,0.0
41.368396,66.253554,0.0
41.596951,66.244646,0.0
41.825505,66.236372,0.0
42.05406,66.228067,0.0
42.282615,66.219533,0.0
42.511169,66.211529,0.0
42.739724,66.203168,0.0
42.968279,66.195182,0.0
43.196833,66.187004,0.0
43.425388,66.179313,0.0
43.653943,66.171067,0.0
43.882497,66.163498,0.0
44.111052,66.155694,0.0
44.339607,66.147929,0.0
44.568161,66.140326,0.0
44.796716,66.132682,0.0
45.025271,66.125101,0.0
45.253825,66.117687,0.0
45.48238,66.110452,0.0
45.710935,66.103162,0.0
45.93949,66.095766,0.0
46.168044,66.088569,0.0
46.396599,66.08164,0.0
46.625154,66.074323,0.0
46.853708,66.06753,0.0
47.082263,66.060337,0.0
47.310818,66.053602,0.0
47.539372,66.046977,0.0
47.767927,66.040183,0.0
47.996482,66.033475,0.0
48.225036,66.026622,0.0
48.453591,66.019987,0.0
48.682146,66.013536,0.0
48.9107,66.007157,0.0
49.139255,66.000896,0.0
49.36781,65.994317,0.0
49.596364,65.987828,0.0
49.824919,65.981795,0.0
50.053474,65.975538,0.0
50.282028,65.96923,0.0
50.510583,65.963158,0.0
50.739138,65.957233,0.0
50.967692,65.951087,0.0
51.196247,65.945182,0.0
51.424802,65.939226,0.0
51.653356,65.933375,0.0
51.881911,65.92766,0.0
52.110466,65.921941,0.0
52.33902,65.916284,0.0
52.567575,65.910777,0.0
52.79613,65.904644,0.0
53.024684,65.899504,0.0
53.253239,65.894112,0.0
53.481794,65.888216,0.0
53.710348,65.883219,0.0
53.938903,65.877563,0.0
54.167458,65.872319,0.0
54.396012,65.867221,0.0
54.624567,65.861651,0.0
54.853122,65.856391,0.0
55.081677,65.851379,0.0
55.310231,65.846256,0.0
55.538786,65.841283,0.0
55.767341,65.83632,0.0
55.995895,65.831091,0.0
56.22445,65.826391,0.0
56.453005,65.821257,0.0
56.681559,65.816343,0.0
56.910114,65.811416,0.0
57.138669,65.806891,0.0
57.367223,65.802175,0.0
57.595778,65.797754,0.0
57.824333,65.792816,0.0
58.052887,65.788213,0.0
58.281442,65.783864,0.0
58.509997,65.779062,0.0
