Temperature (K),Total HC (J/K),K_w (W/(m.K))
320.0,0.013355288,0.00031489191
262.508,0.011319558,0.00023513004
215.346,0.0089926513,0.00018238862
176.653,0.0068362849,0.00014271553
144.918,0.0052376600999999995,0.00011670248
118.879,0.0039188191,9.8188097e-05
97.5202,0.0028694343,8.3616676e-05
79.9993,0.0021048706,7.2352006e-05
65.6272,0.0015510546999999999,6.3028768e-05
53.8374,0.0011543254999999998,5.5284511e-05
44.1608,0.0008618151099999999,4.7948157e-05
36.2231,0.0006435633699999999,4.1151758e-05
29.721,0.00047013002,3.5286573e-05
24.3825,0.00033689501,3.0017695e-05
20.0052,0.00023670068,2.4811049e-05
16.4107,0.00016168702,2.0125666e-05
13.4643,0.00010805562999999998,1.5843966e-05
11.0442,6.9852304e-05,1.2560034e-05
9.0589,4.4087502e-05,9.8504189e-06
7.4315,2.6780968e-05,7.6926557e-06
6.0909,1.5488816e-05,5.9375338e-06
4.9983,8.6671061e-06,4.6754139e-06
