[Header]
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
[Data]
Temperature (K), HCTotal (uJ/K), HCSample (µJ/K), Field (Oe)
103.1671,7177.9648,4080.3204,0.207
104.11576,7501.0915,4357.3211,0.207
105.00538,7615.4398,4428.3653,0.207
105.86869,7719.9583,4490.8158,0.207
106.70791,7821.7398,4551.6603,0.207
107.52419,7920.8136,4610.8758,0.207
108.31868,8017.872,4669.1016,0.207
109.09227,8112.8713,4726.2529,0.207
109.84593,8206.6726,4783.1463,0.207
110.58053,8297.8985,4838.3647,0.207
111.29684,8387.165,4892.4883,0.207
111.99549,8475.9806,4946.9973,0.207
112.67721,8563.1638,5000.6756,0.207
113.34271,8649.0946,5053.8718,0.207
113.99245,8735.394,5108.1845,0.207
114.62702,8819.5645,5161.09,0.207
115.24682,8903.5448,5214.509,0.207
115.85232,8990.1127,5271.1972,0.207
116.44382,9078.532,5330.4056,0.207
117.02155,9169.3627,5392.6836,0.207
117.58552,9269.5452,5464.9735,0.207
118.13518,9385.2361,5553.46,0.207
118.66881,9544.6532,5686.4478,0.207
119.1805,9837.7318,5954.1667,0.207
119.6524,10571.554,6664.5863,0.207
120.05912,12374.24,8447.0901,0.207
120.3884,16251.463,12307.966,0.207
120.63811,24563.74,20607.842,0.207
120.81083,43725.266,39760.788,0.207
120.91457,86027.26,82057.628,0.207
120.96973,141258.98,137286.61,0.207
121.00491,166955.99,162981.87,0.207
121.03729,153487.35,149511.62,0.207
121.07733,115800.62,111822.9,0.207
121.13858,73515.345,69534.58,0.207
121.23847,43475.584,39489.854,0.207
121.39254,26960.851,22967.462,0.207
121.60907,18525.192,14521.036,0.207
121.88952,14178.18,10160.073,0.207
122.22963,11943.431,7908.3991,0.207
122.61729,10849.136,6794.8035,0.207
123.0347,10355.565,6280.4403,0.207
123.46516,10143.3,6046.7215,0.207
123.89837,10056.318,5938.1356,0.207
124.32956,10024.412,5884.7152,0.207
124.75628,10019.765,5858.7642,0.207
125.17763,10028.095,5846.0475,0.207
125.593,10047.166,5844.359,0.207
126.0022,10070.083,5846.8146,0.207
126.40521,10097.556,5854.1249,0.207
126.8018,10127.073,5863.7894,0.207
127.19229,10156.085,5873.2463,0.207
127.5765,10184.634,5882.5434,0.207
127.95471,10214.907,5893.8571,0.207
128.32695,10243.998,5904.2789,0.207
128.69323,10274.111,5916.0126,0.207
129.05385,10305.236,5929.0347,0.207
129.40869,10334.424,5940.4019,0.207
129.75797,10364.777,5953.2054,0.207
130.1017,10396.211,5967.3613,0.207
130.44007,10424.301,5978.4363,0.207
130.77315,10455.26,5992.6384,0.207
131.1011,10480.844,6001.7165,0.207
131.42395,10507.498,6012.1154,0.207
131.74178,10535.313,6023.9216,0.207
132.05475,10565.049,6037.8878,0.207
132.3629,10591.353,6048.6576,0.207
132.66639,10619.784,6061.7852,0.207
132.96511,10645.136,6072.0675,0.207
133.25934,10669.873,6081.9562,0.207
133.54919,10694.017,6091.4683,0.207
133.83464,10720.493,6103.5297,0.207
134.11581,10743.114,6111.9465,0.207
134.39279,10765.443,6120.2783,0.207
134.66561,10791.097,6132.1415,0.207
134.93433,10817.103,6144.5589,0.207
135.19907,10838.472,6152.5364,0.207
135.45996,10861.472,6162.3357,0.207
135.71692,10882.927,6170.7846,0.207
135.97013,10901.681,6176.7183,0.207
136.21972,10920.979,6183.3748,0.207
136.46573,10941.654,6191.5877,0.207
136.70798,10965.461,6203.118,0.207
136.94681,10984.19,6209.7399,0.207
137.1822,11005.69,6219.3052,0.207
137.41415,11026.096,6227.9464,0.207
137.64279,11041.706,6231.9567,0.207
137.86804,11060.368,6239.1883,0.207
138.09023,11081.38,6248.9218,0.207
138.3091,11100.786,6257.2155,0.207
138.525,11114.335,6259.7998,0.207
138.73775,11134.058,6268.7159,0.207
138.94746,11147.429,6271.4309,0.207
139.15426,11168.276,6281.7671,0.207
139.35817,11181.412,6284.5375,0.207
139.55925,11200.301,6293.2015,0.207
139.75738,11211.616,6294.4396,0.207
139.95276,11232.983,6305.8674,0.207
140.1455,11244.172,6307.2489,0.207
140.33558,11260.335,6313.7382,0.207
140.52297,11270.467,6314.3312,0.207
140.70777,11283.705,6318.1597,0.207
140.88996,11299.839,6325.0149,0.207
141.06974,11321.141,6337.1598,0.207
141.24692,11333.871,6340.8625,0.207
141.42165,11349.153,6347.2405,0.207
141.59398,11358.792,6348.0958,0.207
141.76387,11374.588,6355.2311,0.207
141.93154,11387.823,6359.9157,0.207
142.09691,11398.741,6362.4005,0.207
142.25998,11410.271,6365.6124,0.207
142.4208,11426.666,6373.8031,0.207
142.57948,11432.101,6371.1403,0.207
142.73604,11448.947,6379.9965,0.207
142.89039,11462.016,6385.1861,0.207
143.04268,11469.622,6385.0172,0.207
143.1929,11480.644,6388.3688,0.207
143.34127,11488.124,6388.2711,0.207
143.48752,11492.037,6384.7135,0.207
143.63183,11503.331,6388.6351,0.207
143.77423,11517.64,6395.6674,0.207
143.91468,11530.198,6401.0471,0.207
144.05324,11549.344,6413.1111,0.207
112.8081,8970.1067,5401.1828,0.207
112.97887,8991.3282,5414.0055,0.207
113.15147,9019.131,5433.3174,0.207
113.3259,9044.0482,5449.6521,0.207
113.5023,9068.4986,5465.4217,0.207
113.68057,9090.1273,5478.2749,0.207
113.86074,9114.0705,5493.3473,0.207
114.04279,9137.6296,5507.941,0.207
114.22677,9167.9749,5529.2235,0.207
114.41271,9197.3002,5549.3877,0.207
114.60057,9223.3436,5566.1729,0.207
114.7903,9249.98,5583.4567,0.207
114.98198,9278.2364,5602.2624,0.207
115.17569,9303.7074,5618.1802,0.207
115.37131,9337.4077,5642.2307,0.207
115.56883,9370.4188,5665.4954,0.207
115.76822,9403.667,5688.9032,0.207
115.96946,9442.2928,5717.5939,0.207
116.17256,9483.537,5748.809,0.207
116.37741,9521.0038,5776.1578,0.207
116.58409,9564.122,5809.0648,0.207
116.79239,9611.5465,5846.1954,0.207
117.00229,9663.4775,5887.7508,0.207
117.21348,9732.0044,5945.8355,0.207
117.42566,9817.759,6021.0957,0.207
117.63825,9930.0572,6122.8765,0.207
117.85036,10088.289,6270.6123,0.207
118.06014,10344.116,6516.0549,0.207
118.26388,10804.443,6966.2945,0.207
118.45496,11738.93,7891.3182,0.207
118.62506,13608.581,9752.5434,0.207
118.76869,17125.948,13262.793,0.207
118.88366,23520.379,19651.527,0.207
118.97016,34865.466,30992.328,0.207
119.03082,52796.683,48920.538,0.207
119.0717,74903.379,71025.207,0.207
119.1008,96365.202,92485.588,0.207
119.12361,115619.86,111739.12,0.207
119.14288,131824.88,127943.18,0.207
119.15985,145693.65,141811.1,0.207
119.17527,156892.47,153009.17,0.207
119.1898,165433.59,161549.56,0.207
119.20382,169796.72,165912,0.207
119.21775,169273.93,165388.52,0.207
119.23198,162211.64,158325.52,0.207
119.24732,148631.6,144744.72,0.207
119.26473,129503.61,125615.87,0.207
119.28554,106690.25,102801.47,0.207
119.31166,83669.167,79779.099,0.207
119.34552,63617.136,59725.389,0.207
119.3899,48115.337,44221.389,0.207
119.44786,36722.819,32825.996,0.207
119.52258,28585.681,24685.153,0.207
119.61684,22840.024,18934.82,0.207
119.73279,18778.939,14867.983,0.207
119.87114,15939.943,12022.123,0.207
120.03167,13976.904,10051.117,0.207
120.21266,12653.335,8718.5639,0.207
120.41166,11776.331,7831.6799,0.207
120.62575,11209.351,7254.0674,0.207
120.85174,10845.889,6879.3788,0.207
121.08724,10614.487,6636.2744,0.207
121.3301,10463.252,6472.9667,0.207
121.57921,10364.731,6362.0592,0.207
121.83343,10302.756,6287.4398,0.207
122.09217,10262.578,6234.3877,0.207
122.35514,10238.451,6197.171,0.207
122.62186,10226.909,6172.3491,0.207
122.89224,10224.651,6156.6246,0.207
123.166,10226.704,6145.0369,0.207
123.44315,10235.594,6140.1122,0.207
123.72355,10249.582,6140.1194,0.207
124.00714,10262.838,6139.23,0.207
124.29393,10280.191,6142.2725,0.207
124.5839,10297.602,6145.2089,0.207
124.877,10317.904,6150.8745,0.207
125.17324,10339.247,6157.4189,0.207
125.47267,10362.323,6165.5308,0.207
125.77529,10383.333,6171.4123,0.207
126.08095,10410.252,6183.0438,0.207
126.3898,10434.702,6192.0418,0.207
126.70182,10462.224,6203.946,0.207
127.01707,10488.519,6214.4563,0.207
127.33541,10517.599,6227.5899,0.207
127.65692,10542.873,6236.7521,0.207
127.98169,10574.899,6252.4964,0.207
128.30968,10603.279,6264.4265,0.207
128.64092,10633.588,6278.1149,0.207
128.97537,10661.623,6289.362,0.207
129.31313,10693.586,6304.3641,0.207
129.65416,10723.185,6316.8306,0.207
129.99868,10753.356,6329.6863,0.207
130.34642,10784.155,6343,0.207
130.69758,10814.952,6356.1328,0.207
131.05211,10846.623,6369.962,0.207
131.41011,10880.193,6385.5077,0.207
131.77148,10914.863,6401.9749,0.207
132.13617,10948.702,6417.437,0.207
132.50447,10981.377,6431.5439,0.207
132.87618,11015.219,6446.6375,0.207
133.25143,11048.836,6461.3192,0.207
133.63024,11080.883,6474.2418,0.207
134.01261,11115.215,6489.2612,0.207
134.39864,11151.593,6506.1328,0.207
134.78803,11189.125,6523.9795,0.207
135.18119,11225.526,6540.4954,0.207
135.57798,11261.448,6556.3384,0.207
135.9784,11295.794,6570.4128,0.207
136.38264,11328.673,6582.8163,0.207
136.79054,11362.715,6596.187,0.207
137.20233,11401.865,6614.459,0.207
137.61777,11440.384,6631.9048,0.207
138.03702,11478.831,6649.0742,0.207
138.46013,11517.071,6665.8303,0.207
138.88705,11551.923,6678.9942,0.207
139.31785,11589.239,6694.4143,0.207
139.75266,11625.182,6708.2457,0.207
140.19131,11666.132,6726.8781,0.207
140.63409,11702.97,6741.1768,0.207
141.08085,11740.403,6755.8552,0.207
141.53243,11759.401,6751.8419,0.207
141.99354,11671.54,6640.4712,0.207
142.49832,10865.294,5808.475,0.207
